Max_Amplitude,Mean,Median,STD,Kurtosis,Skewness,IQR,First_Percentile,Second_Percentile,Third_Percentile,Zero_Crossing_Rate,RMS,Waveform_Factor,Pulse_Factor,Margin_Factor,Dominant_Freq,Spectral_Centroid,Spectral_Bandwidth,Spectral_Flatness,Spectral_Rolloff,Spectral_Kurtosis,Entropy,Sample_Entropy,Approximate_Entropy,Hjorth_Activity,Hjorth_Mobility,Hjorth_Complexity,Envelope_Mean,Envelope_STD,Envelope_Max,Envelope_Energy_Ratio,MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Label
50000.0,-2.4141474,-14.576318,7286.715,14.33576559560819,0.7913114264761294,3743.4568786621094,-1910.84326171875,-14.57631778717041,1832.6136169433594,0.09475,7286.7153,1.9152165406449178,13.141837257082956,6.861802296599662,109.75,434.3932001564708,389.81240326772263,0.060426973,797.2412109375,5.827268341611928,3.1360524576225304,1.100005799978949,1.232937895811577,53096212.0,0.47443862453098706,2.200485742238783,6014.37,8367.782,74854.65,0.6054239243994488,1059.9849,115.09521,5.9719067,-4.161238,-3.309402,9.204914,-15.7327585,-5.6069646,-4.409509,2.7981684,-7.2737446,-6.609398,-4.2271986,high-quality
50000.0,-2.7963152,-70.63844,5426.411,14.066153599843634,0.6379852823816102,2610.963623046875,-1371.2944641113281,-70.63844299316406,1239.6691589355469,0.0995625,5426.412,1.9212926901773488,17.70315865669331,9.21419143850445,94.0,406.49195929551956,379.52031725928714,0.043987915,757.01904296875,6.342356454420005,2.8857531762226682,1.039054670074265,1.1859239422789352,29445940.0,0.4244077585344099,2.2525271102146753,4441.409,6258.256,57900.945,0.6102897313552229,1021.04065,118.7874,9.574345,1.7255535,-4.008152,6.0254908,-14.875554,-6.561038,-9.020309,1.9372996,-4.9128647,-5.594467,-4.8605595,high-quality
49991.34,2.5918927,-23.399088,6660.6904,21.953714009539254,1.0129503400761615,2360.879913330078,-1207.0870361328125,-23.39908790588379,1153.7928771972656,0.1098125,6660.691,2.2634944004996544,16.991438488711104,7.506728748681832,316.0,372.03540100445343,296.2853623078072,0.019009503,523.98681640625,10.295200929262336,2.766482718156561,1.0987936108368899,1.241689080770699,44364796.0,0.4986726827140399,1.3514352612830063,4598.355,8220.994,77522.63,0.7082487497086863,1003.19885,143.75769,17.710875,-1.9307431,-31.610035,-14.482225,-9.716138,2.907073,5.0405316,1.7160188,-4.1157446,0.16606641,-3.824082,high-quality
49898.75,-0.38318408,12.546778,6298.02,23.41130123145418,1.1486083001163379,2257.9803466796875,-1141.2814025878906,12.546777725219727,1116.6989440917969,0.11425,6298.02,2.24242430564375,17.80261335062134,7.939003027132551,297.25,371.9692950558238,294.65096251395664,0.01861041,527.28271484375,10.52595556807875,2.736625661750858,1.1339986465863876,1.2414201098800812,39665056.0,0.49972716658737965,1.3139086210629658,4387.189,7751.3027,70996.19,0.6853747797563128,998.2991,143.93199,14.554925,-3.39017,-25.519583,-15.322562,-11.461508,-0.49746794,5.4151764,5.837763,-1.8219166,-1.5207555,-4.216854,high-quality
49925.32,-24.143738,19.62068,6458.0654,19.513859890227067,0.4821697416468059,2576.820098876953,-1349.8852844238281,19.62067985534668,1226.934814453125,0.0735625,6458.1104,2.152628472901497,16.666086174732847,7.742202792787957,75.5,289.7556018902193,280.4367723557207,0.009888901,488.6474609375,11.388501245184456,2.8093705820588677,0.7541197555053049,0.9795812163746604,41706612.0,0.29343648069087463,2.0072926145924184,4722.584,7817.354,64238.336,0.7636144543910444,960.3331,158.0082,16.768618,9.03384,-8.287803,3.5753188,-9.830186,-10.820104,-6.0933166,-7.521202,-11.662867,-15.37962,-15.481077,high-quality
48466.58,6.394651,91.25279,6746.0327,12.017117127704648,-1.1210580615712569,4433.2218017578125,-2106.70166015625,91.25279235839844,2326.5201416015625,0.0940625,6746.0356,1.6953518722933543,12.565541909548836,7.411760422661429,73.25,344.3857936963225,354.11545294540247,0.023864314,636.71875,7.738869242186037,3.2706094153102643,1.1881311305697768,1.3200276420138155,45508960.0,0.3336803224606584,2.5146218053535296,6253.211,7205.2285,67711.46,0.5166432836109985,1014.64185,124.17297,16.285631,21.721228,-10.74721,-1.3198001,-0.9934978,-6.441003,-6.440896,-6.5689774,-9.012568,-6.512293,-9.611153,high-quality
49753.703,4.0931287,117.993355,6592.8057,14.445167630545736,-0.6740488419792585,3979.620361328125,-1941.5497436523438,117.99335479736328,2038.0706176757812,0.097,6592.807,1.7723731596971335,13.441718565723999,7.584022863458927,141.0,350.9156181276818,346.0833087208724,0.030210607,617.49267578125,8.50491665494862,3.1747012696492765,1.135946563980967,1.2920128345334474,43465090.0,0.3639287188274576,2.3416309357821143,5865.563,7247.44,68314.83,0.5247687793710318,1011.1377,126.36455,17.96759,15.171709,-10.843792,-2.8101177,-6.5935073,-3.603382,-6.5882177,-7.026726,-9.198177,-7.662313,-7.793055,high-quality
43970.43,-20.821884,-36.06433,7647.138,6.167027833579779,0.21914541463004347,6578.51318359375,-3472.4324340820312,-36.0643310546875,3106.0807495117188,0.0778125,7647.166,1.5332277921813724,10.024810426820988,6.53836988733316,81.75,258.8249279213595,250.94969510592227,0.004705429,436.279296875,12.489061263323855,3.5628667075619593,1.5079374153355234,1.4650713947856575,58478720.0,0.27441901354840725,2.0386289643931916,7855.341,7433.136,51732.0,0.6543676442731612,958.5332,179.31964,13.839239,11.587285,2.2360823,2.6330152,-9.064605,-7.5802116,1.1896894,2.5811043,-12.044116,-8.6798115,-10.826948,high-quality
50000.0,7.985234,46.661503,6542.3413,21.404708517449745,0.06237618033503405,3710.6043090820312,-1834.5180053710938,46.661502838134766,1876.0863037109375,0.0801875,6542.346,1.9678626265931565,15.039425987408446,7.642518224681826,235.5,332.4929797296875,302.6853759325961,0.014596051,527.89306640625,10.532888052430973,3.021261444615156,1.4070937629961218,1.4270628018558336,42802228.0,0.3716477977969455,1.6537575706966747,5212.438,7644.281,66020.46,0.7132939437281752,988.2956,141.52774,15.548077,13.731365,-11.389942,-15.502942,-6.9884953,-12.764027,-12.927881,-10.193661,-5.7100086,-7.851842,-4.497286,high-quality
50000.0,1.7008029,41.912533,6747.966,21.7195120145389,0.020709003023553697,3545.4364013671875,-1762.5237731933594,41.912532806396484,1782.9126281738281,0.0733125,6747.966,2.032615636370402,15.060950888724797,7.409640376288166,212.0,329.54907247239123,289.472129326902,0.012547087,519.287109375,10.907750274018738,2.9736627950100627,1.414554663012258,1.4232645355794,45535040.0,0.38138219844012966,1.5668628665869813,5191.627,8007.3154,68435.63,0.7196742462859337,985.5011,147.79274,13.631074,10.677029,-14.33211,-14.059076,-7.8594894,-13.198182,-18.761911,-5.5004487,-6.33285,-4.677739,-4.569758,high-quality
